x(meters),y(meters),z(feet)
538500,3652500,192.8
539500,3652500,217.8
540500,3652500,157.5
541500,3652500,143.5
542500,3652500,133.1
543500,3652500,133.3
544500,3652500,127.4
545500,3652500,170.5
546500,3652500,146.7
547500,3652500,172.9
548500,3652500,213.6
549500,3652500,199.8
550500,3652500,170.4
551500,3652500,187.7
552500,3652500,146.9
553500,3652500,143
554500,3652500,170.3
555500,3652500,212.9
556500,3652500,203.1
538500,3651500,186.5
539500,3651500,200.6
540500,3651500,191.9
541500,3651500,141.9
542500,3651500,127.8
543500,3651500,127
544500,3651500,126.7
545500,3651500,203.2
546500,3651500,163.8
547500,3651500,149.7
548500,3651500,222.5
549500,3651500,201.9
550500,3651500,221.3
551500,3651500,181.2
552500,3651500,144.2
553500,3651500,188.9
554500,3651500,171.8
555500,3651500,223
556500,3651500,166.9
538500,3650500,193.6
539500,3650500,187.9
540500,3650500,196.7
541500,3650500,213.5
542500,3650500,153.2
543500,3650500,124.3
544500,3650500,132
545500,3650500,155.6
546500,3650500,154.5
547500,3650500,201.8
548500,3650500,180.4
549500,3650500,176.3
550500,3650500,209.4
551500,3650500,191.9
552500,3650500,146.6
553500,3650500,138.1
554500,3650500,194.9
555500,3650500,171.5
556500,3650500,156.9
538500,3649500,196.3
539500,3649500,152.7
540500,3649500,204.6
541500,3649500,153.5
542500,3649500,168
543500,3649500,146.9
544500,3649500,148
545500,3649500,136.9
546500,3649500,128.3
547500,3649500,197.1
548500,3649500,198.2
549500,3649500,199.8
550500,3649500,262.5
551500,3649500,232.6
552500,3649500,163.1
553500,3649500,133
554500,3649500,192.3
555500,3649500,161.7
556500,3649500,145.8
538500,3648500,156.5
539500,3648500,153.8
540500,3648500,224
541500,3648500,173.5
542500,3648500,183.2
543500,3648500,122.6
544500,3648500,120.8
545500,3648500,129.9
546500,3648500,151.3
547500,3648500,188.9
548500,3648500,158.4
549500,3648500,162.4
550500,3648500,211
551500,3648500,192.6
552500,3648500,147.2
553500,3648500,128.3
554500,3648500,146.7
555500,3648500,152.9
556500,3648500,154.9
538500,3647500,140.2
539500,3647500,174.4
540500,3647500,231.9
541500,3647500,178.2
542500,3647500,171.5
543500,3647500,159.6
544500,3647500,142.7
545500,3647500,138.1
546500,3647500,120
547500,3647500,163.4
548500,3647500,160
549500,3647500,170
550500,3647500,214
551500,3647500,184.6
552500,3647500,143.4
553500,3647500,125
554500,3647500,150.3
555500,3647500,166
556500,3647500,220.7
538500,3646500,130.6
539500,3646500,218.8
540500,3646500,210.6
541500,3646500,194.2
542500,3646500,179.1
543500,3646500,187.2
544500,3646500,150.4
545500,3646500,131.7
546500,3646500,123.3
547500,3646500,128.8
548500,3646500,130.5
549500,3646500,147.1
550500,3646500,154.6
551500,3646500,195.5
552500,3646500,155.9
553500,3646500,122.6
554500,3646500,182.8
555500,3646500,217.7
556500,3646500,183.6
538500,3645500,141.9
539500,3645500,159
540500,3645500,212.6
541500,3645500,218.8
542500,3645500,189.7
543500,3645500,166.8
544500,3645500,215.2
545500,3645500,173.1
546500,3645500,120.6
547500,3645500,126.8
548500,3645500,122.7
549500,3645500,137
550500,3645500,168.2
551500,3645500,185.8
552500,3645500,161.5
553500,3645500,123.6
554500,3645500,168.5
555500,3645500,193.1
556500,3645500,173
538500,3644500,126.9
539500,3644500,161.6
540500,3644500,202.2
541500,3644500,182.3
542500,3644500,158.8
543500,3644500,181.6
544500,3644500,205.9
545500,3644500,206.1
546500,3644500,151.4
547500,3644500,156.2
548500,3644500,124.7
549500,3644500,113.4
550500,3644500,122
551500,3644500,182.6
552500,3644500,185.3
553500,3644500,116
554500,3644500,170.1
555500,3644500,175.6
556500,3644500,164
538500,3643500,115.7
539500,3643500,174.6
540500,3643500,207.8
541500,3643500,160.1
542500,3643500,141.1
543500,3643500,179.6
544500,3643500,197.1
545500,3643500,224.2
546500,3643500,204.4
547500,3643500,149.9
548500,3643500,152.5
549500,3643500,122.2
550500,3643500,111.3
551500,3643500,109.3
552500,3643500,159.6
553500,3643500,113.8
554500,3643500,149.2
555500,3643500,178.9
556500,3643500,166.4
538500,3642500,109.6
539500,3642500,175.6
540500,3642500,162.1
541500,3642500,166.3
542500,3642500,132.7
543500,3642500,197.9
544500,3642500,222.6
545500,3642500,188.6
546500,3642500,243.3
547500,3642500,179.3
548500,3642500,221.4
549500,3642500,138.7
550500,3642500,137.5
551500,3642500,111.5
552500,3642500,112.6
553500,3642500,118.3
554500,3642500,158
555500,3642500,171.9
556500,3642500,151.3
538500,3641500,116.5
539500,3641500,185.4
540500,3641500,183
541500,3641500,189.1
542500,3641500,132.4
543500,3641500,171.3
544500,3641500,176.2
545500,3641500,179.7
546500,3641500,196.1
547500,3641500,184
548500,3641500,195.7
549500,3641500,197.4
550500,3641500,159.8
551500,3641500,149.1
552500,3641500,119.4
553500,3641500,129.1
554500,3641500,177.5
555500,3641500,192.3
556500,3641500,163.3
538500,3640500,125.3
539500,3640500,163.1
540500,3640500,197.3
541500,3640500,177.5
542500,3640500,121.9
543500,3640500,194.3
544500,3640500,174.1
545500,3640500,199.9
546500,3640500,211.4
547500,3640500,204.3
548500,3640500,164.7
549500,3640500,193.7
550500,3640500,192.9
551500,3640500,150.5
552500,3640500,115.5
553500,3640500,126.9
554500,3640500,121
555500,3640500,172.5
556500,3640500,169.8
538500,3639500,140.7
539500,3639500,146.3
540500,3639500,189.8
541500,3639500,187.2
542500,3639500,123.2
543500,3639500,163.7
544500,3639500,123.3
545500,3639500,173.2
546500,3639500,183.6
547500,3639500,149.3
548500,3639500,181.4
549500,3639500,203.2
550500,3639500,202.5
551500,3639500,157.8
552500,3639500,146.3
553500,3639500,109.7
554500,3639500,150.2
555500,3639500,148.4
556500,3639500,175.4
538500,3638500,88.9
539500,3638500,164.4
540500,3638500,195.7
541500,3638500,168.6
542500,3638500,129.6
543500,3638500,167.6
544500,3638500,147.1
545500,3638500,190.8
546500,3638500,193.1
547500,3638500,184.1
548500,3638500,154.5
549500,3638500,195.1
550500,3638500,215.1
551500,3638500,187.6
552500,3638500,164.6
553500,3638500,152.7
554500,3638500,100.1
555500,3638500,102.9
556500,3638500,158.6
538500,3637500,85.5
539500,3637500,171.5
540500,3637500,156.8
541500,3637500,180.9
542500,3637500,128.1
543500,3637500,164.1
544500,3637500,143.5
545500,3637500,176.1
546500,3637500,139.8
547500,3637500,128.6
548500,3637500,184.6
549500,3637500,192.6
550500,3637500,174.6
551500,3637500,195.4
552500,3637500,166.9
553500,3637500,173
554500,3637500,154.4
555500,3637500,145.7
556500,3637500,97.1
538500,3636500,84.1
539500,3636500,82.9
540500,3636500,115.6
541500,3636500,170.3
542500,3636500,143.6
543500,3636500,153.4
544500,3636500,184.2
545500,3636500,160.2
546500,3636500,137.5
547500,3636500,142.8
548500,3636500,172.3
549500,3636500,176.4
550500,3636500,176.8
551500,3636500,195.5
552500,3636500,209.2
553500,3636500,172.1
